車両識別番号,車種名,閾値_AT異常,閾値_画面強調,閾値_Lv1,閾値_Lv2,閾値_Lv3
CKM001,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM002,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM003,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM004,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM005,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM006,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM007,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM008,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM009,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM010,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM011,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM012,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM013,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM014,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM015,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM016,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM017,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM018,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM019,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM020,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM021,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM022,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM023,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM024,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM025,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM026,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM027,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM028,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM029,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM030,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM031,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM032,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM033,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM034,グリッター・EB,17.9,20.5,23.9,24.7,26.3
CKM035,グリッター・EB,17.9,20.5,23.9,24.7,26.3
FKI001,"PasCityC	",24,24,24.6,25.3,26.4
FKI002,"PasCityC	",24,24,24.6,25.3,26.4
FKI003,"PasCityC	",24,24,24.6,25.3,26.4
FKI004,"PasCityC	",24,24,24.6,25.3,26.4
FKI005,"PasCityC	",24,24,24.6,25.3,26.4
FKI006,"PasCityC	",24,24,24.6,25.3,26.4
FKI007,"PasCityC	",24,24,24.6,25.3,26.4
